"Titular	Etiqueta	Cuerpo	Tema	URL	Fecha	Fuente	Fecha_extraccion";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"El impacto de las políticas públicas sobre salud, vivienda y seguridad en los derechos de las mujeres que ejercen prostitución	VERDADERO	Este artículo analiza el impacto que tienen las políticas públicas sobre salud, vivienda y seguridad en el disfrute efectivo de estos derechos por parte de las mujeres que ejercen prostitución. Este hace un recuento de cuáles son las obligaciones adquiridas por nuestro país en el marco de los instrumentos internacionales de derechos humanos, para posteriormente analizar las políticas que las diferentes administraciones están desplegando. Asimismo, describe la situación específica de las mujeres que ejercen prostitución, visibilizando las brechas que existen en el disfrute de los mencionados derechos. Las tres políticas analizadas tienen graves carencias en cuanto al respeto, la realización y la protección de los derechos, que afectan de manera más contundente a los grupos más vulnerabilizados, entre ellos las mujeres que ejercen prostitución, pues son ellas quienes tienen mayor necesidad de un marco de políticas públicas amplio y protector para poder disfrutar de manera efectiva de sus derechos. La apuesta real por un enfoque de derechos humanos debe ser un elemento fundamental para el diseño e implementación de cualquier política pública que quiera abordar la prostitución de manera integral y desde una perspectiva abolicionista.	SANIDAD	https://doi.org/10.17502/mrcs.v10i1.523	2022-04-30	methaodos revista de ciencias sociales	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eneas del siglo XXI: narrativas de la crisis migratoria en el cómic publicado en España (2014-2019)	VERDADERO	La crisis migratoria que afecta a Europa desde 2014 es un tema de interés para de los medios de comunicación de los países que reciben un mayor número de migrantes, principalmente España, Italia y Grecia. En el tratamiento de este fenómeno abundan las propuestas periodísticas y las películas, quizás porque estos son medios de amplia difusión. Son aproximaciones estudiadas en el marco de la representación audiovisual de fenómenos sociales. Este artículo se fija en un medio menos atendido, el cómic, en un país, España, que solo en 2019 recibió más de 23.000 migrantes. Se han localizado 13 títulos, publicados entre 2014 y 2019, que reflejan la migración a través de historias que enfatizan conceptos como huida, frontera y encierro. Este trabajo analiza esas obras desde un punto de vista semiótico para definir la iconografía, la expresión literaria y las técnicas narrativas que se proponen para representar la migración.	HUMANITARIO	https://doi.org/10.24310/fotocinema.2020.vi21.10007	2020-07-24	Fotocinema Revista científica de cine y fotografía	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Alfabetización audiovisual en español como L2 a través del cine para alumnado adolescente en inmersión	VERDADERO	Este estudio se enmarca en la lingüística aplicada a la adquisición del español como lengua de acogida en contextos de inmigración (Llorente, 2018, 2022), en concreto por parte de adolescentes escolarizados en inmersión. Entre las muchas opciones para el aprendizaje del español como lengua vehicular y para la integración social y académica de este colectivo (Nikleva, 2014), proponemos introducir la alfabetización audiovisual a través del cine en estas aulas de español como L2 de secundaria (Herrero and Vanderschelden, 2019). Así pues, los objetivos de este artículo son: (1) ofrecer al profesorado una plantilla de análisis de recursos cinematográficos para reconocer los materiales que desarrollan la conciencia intercultural y la alfabetización audiovisual";" (2) seleccionar un corpus de películas que puedan usarse en este contexto de inmersión y (3) aplicar la plantilla a dicho corpus para ver si las guías didácticas que las acompañan son apropiadas. Utilizamos para ello una metodología analítica, mediante un análisis cuantitativo del contenido, además de una valoración cualitativa de los matices relevantes no cuantificables (Martín Peris, 2022). El instrumento de investigación es una plantilla para el análisis crítico de material audiovisual (Contreras, 2023), aplicada a un corpus constituido por nueve películas y sus respectivas guías didácticas.	CONVIVENCIA Y RACISMO	http://dx.doi.org/10.30827/portalin.vivi.28686	2023-07-28	Porta Linguarum Revista Interuniversitaria de Didáctica de las Lenguas Extranjeras	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Indicadores de sostenibilidad urbana y procesos migratorios internacionales en ciudades intermedias: la vivienda y el espacio público en dos zonas urbanas de Temuco, Chile	VERDADERO	Resumen En la última década, Chile ha vivido un importante aumento de la migración internacional, lo que ha impactado de forma diferenciada en las distintas ciudades del país. En este marco, el objetivo del artículo es analizar la relación entre sostenibilidad urbana y condiciones de habitabilidad y usos del espacio urbano de la población migrante en una ciudad intermedia del sur de Chile (Temuco), buscando identificar los aspectos urbanos críticos que debieran abordarse para favorecer un desarrollo sostenible. Se identifican dos zonas urbanas de la ciudad y se comparan los datos de una encuesta sobre habitabilidad y espacio público dirigida a migrantes con algunos indicadores de sostenibilidad urbana recogidos en cuatro barrios correspondientes a ambas zonas. Los resultados muestran claras diferencias entre los sectores, tanto en las condiciones de vivienda y usos del espacio público de la población migrante, como en la ocupación del suelo y accesibilidad a áreas verdes en sus barrios, evidenciando la existencia de rasgos de insostenibilidad urbana que afectan la calidad de vida de los inmigrantes. Se concluye que es necesario recoger evidencia empírica acotada a barrios específicos para establecer correlaciones entre variables de sostenibilidad y migración que permitan desarrollar planificaciones urbanas pertinentes y sostenibles.	RECURSOS DE ACOGIDA	https://doi.org/10.1590/2175-3369.015.e20210398	2023-01-01	urbe Revista Brasileira de Gestão Urbana	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Representación de los migrantes venezolanos en los medios de comunicación peruanos y su influencia en la opinión pública peruana en los años 2019-2020	VERDADERO	La migración venezolana no tiene precedentes en la historia de América Latina y, en especial, en el Perú (país con poca o nula experiencia en la recepción de personas migrantes). La migración venezolana trae consigo una reconfiguración social en el país de destino, en este caso, el Perú. Esto es muy importante de analizar desde la perspectiva de los medios de comunicación y su influencia en la opinión pública. El objetivo general de este artículo es conocer cómo son representados los migrantes venezolanos a través del diario Trome (diario de mayor consumo a nivel nacional) y cómo son percibidos los migrantes por la opinión pública peruana. La investigación es básica, pues nos permite conocer una realidad. Asimismo, es de corte exploratorio. En este estudio, se realizó una triangulación de datos. A fin de conocer cómo son representados los migrantes, se realizó un análisis de contenido del diario Trome"; asimismo, para conocer la opinión pública, se analizaron los comentarios de los consumidores de noticias de diferentes portales online; del mismo modo, para complementar este último punto, se realizó el análisis de una encuesta online dirigido a peruanos. Respecto de los resultados de esta investigación, se pudo observar que existen tres miedos recurrentes frente a la migración, los cuales «dan sentido» al discurso antimigratorio: miedo a la competencia por recursos económicos (principalmente trabajo); miedo a la inseguridad física (cultura delictiva a la que se le asocia al migrante);" y miedo a la pérdida de identidad nacional o cultural (al señalar a los venezolanos como los «otros» y muy distintos en costumbres a los peruanos.	CONVIVENCIA Y RACISMO	https://doi.org/10.14201/rea202213185217	2022-12-30	Revista Euroamericana de Antropología	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cooperación educativa no universitaria entre España y Marruecos	VERDADERO	La cooperación educativa no universitaria ocupa un lugar importante en la agenda bilateral hispano-marroquí como lo refleja su tratamiento en las once Reuniones de Alto Nivel celebradas entre España y Marruecos así como por los convenios y tratados firmados entre ambas partes. Esta cooperación se concreta en el Programa de Enseñanza de la Lengua Árabe y la Cultura Marroquí (LACM) en los colegios españoles y en la enseñanza del español en Marruecos, tanto en el marco del sistema educativo nacional marroquí como en la red de centros educativos españoles en Marruecos. En este trabajo pretendemos realizar una radiografía de esta cooperación haciendo un balance de los diferentes programas y propuestas recogidas en las Reuniones de Alto Nivel.	POLÍTICA Y LEYES	https://doi.org/10.15366/reim2021.30.007	2021-06-28	Revista de Estudios Internacionales Mediterráneos	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Análisis de la migración a través de la interfaz: Melilla, la frontera viva	VERDADERO	Para comprender el fenómeno de la migración indocumentada, se proponen como categorías de análisis el uso de las interfaces, entendidas como fronteras dinámicas abstractas"; los espacios, como construcciones que se dan a partir de la interacción social; los lugares, que tienen una carga significativa concreta;" y los límites, como aquello que supone barreras físicas-materiales. Para tal efecto, se analiza el caso de lo sucedido en Melilla el 24 de junio de 2022, cuando alrededor de 1700 personas intentaron acceder a territorio español saltando el puesto fronterizo del Barrio chino. Con este trabajo exploratorio, se plantea la posibilidad de aportar herramientas teóricas a los estudios de la migración para así reflexionar, desde otro enfoque, la complejidad inmersa en aquello que la compone. Esto tanto en cuestiones estratégicas, concebidas como la profesionalización de las medidas, como desde las tácticas, entendidas como aquellos pequeños quehaceres de lo cotidiano. Sobre todo, para tratar de entender los acontecimientos que se desbordan ante ciertas situaciones, pero que reflejan una cuestión que se vive diariamente por parte de las personas en tránsito migratorio.	VIGILANCIA DE FRONTERAS	https://doi.org/10.31009/hipertext.net.2022.i25.08	2022-11-29	Hipertext net Revista Académica sobre Documentación Digital y Comunicación Interactiva	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La inmigración en los titulares de Google Noticias	VERDADERO	Introducción: Google se ha convertido en un elemento prioritario en los procesos digitales de búsqueda de información. Este artículo estudia la imagen de la inmigración, a través de la prensa divulgada en Internet. Para ello, se centra en el titular de las noticias, dado que es lo primero que muestra Google Noticias antes de acceder a la información. Se analizan los encuedres noticiosos de los titulares siguiendo la escala de Encuadres Noticiosos de la Inmigración (ENI) propuesta por Igartua, Muñiz y Cheng (2005). El objetivo es determinar cómo los medios de comunicación online, a través de su posición de relevancia en Google, transmiten la imagen de la inmigración expresada en forma de relatos informativos.Método: Se elabora un análisis cualitativo del discurso de titulares de las noticias seleccionadas en diversos periódicos, y un análisis cuantitativo del estudio de frecuencias y co-ocurrencia de encuadres.Resultados: Los resultados señalan un predominio de construcciones narrativas con connotaciones negativas, difundidas en noticias que se encuentran en posiciones de relevancia en Google. Destaca el encuadre del relato informativo vinculado a las condiciones de vida. Discusión y/o Conclusión: Principales conclusiones obtenidosLos titulares de las noticias que facilita el motor de búsqueda Google Noticias a través de su algoritmo de relevancia utilizan en gran medida los encuadres establecidos por los autores Igartua, Muñiz, y Cheng, (2005) en su escala de Encuadres Noticiosos de la inmigración (ENI) utilizados principalmente para el análisis en prensa escrita. Sin embargo, se observa multiples titulares quedan fueran de estos encuadres.Los titulares que ofrece Google acerca de la inmigración y que muestra en posiciones de relevancia en su buscador presentan una imagen negativa de la inmigración, en la que además se observa una infrarrepresentación de la mujer inmigrante.	POLÍTICA Y LEYES	https://doi.org/10.25115/riem.v10i2.3775	2021-06-29	RIEM Revista internacional de estudios migratorios	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Política migratoria en las islas Canarias: violaciones de derechos humanos durante la pandemia	VERDADERO	La inmigración irregular es un fenómeno complejo que desafía los conceptos de confinamiento y restricción al libre tránsito presentados por la pandemia. En ese sentido, 2020 fue un año particularmente agitado para los flujos migratorios de África a Europa. La ruta hacia las islas Canarias en España se reactivó luego de más de una década de baja actividad, llegándose a registrar 23 023 llegadas irregulares en 2020. Al igual que en otros territorios insulares europeos, como Lesbos o Lampedusa, Canarias cuenta con una limitada capacidad estatal de atención al inmigrante. La pandemia representa, entonces, un factor para la emigración masiva en el Magreb y África subsahariana, pero también es un factor para la violación de derechos humanos de los inmigrantes antes, durante y después de su llegada al archipiélago canario. En estas circunstancias, el Estado español está obligado a cumplir con el derecho internacional, comunitario y nacional en lo referente a los derechos fundamentales de las personas migrantes. Este artículo argumenta que España debe garantizar en todo momento la protección de la salud de los refugiados y solicitantes de protección internacional en los procedimientos legales de intervención, atención y detención. Asimismo, la aplicación de medidas sanitarias no exime al Estado de su obligación a brindar garantías como el acceso a la asistencia letrada, la libre circulación por todo el territorio, el respeto por los plazos de detención y el mantenimiento de las instalaciones de recepción	POLÍTICA Y LEYES	https://doi.org/10.18800/derechopucp.202202.002	2022-11-22	Derecho PUCP	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La determinación de la edad. Obligaciones, praxis y estrategias de litigio para la efectiva protección de los derechos convencionales de los Menores Extranjeros No Acompañados	VERDADERO	El progresivo incremento del número de Menores Extranjeros No Acompañados (MENA) que llegan a España desde finales de la década de los ochenta, ha puesto en un brete a nuestras autoridades, que desde entonces debaten entre sus obligaciones tuitivas frente al menor y el necesario, aunque no siempre bien gestionado, control de fronteras. En una primera lectura, la normativa española en materia migratoria y de tutela del menor podría efectivamente calificarse de protectora. Sin embargo, la praxis nos viene demostrando desde hace años que su aplicación no siempre es conforme a los mandatos de la Convención sobre Derechos del Niño, ni al desarrollo que de la misma hace el Comité encargado de controlar su cumplimiento. Las críticas, muchas de ellas centradas en el procedimiento de determinación de la edad, son bien conocidas. Los informes y recomendaciones de instituciones y organizaciones, nacionales e internacionales, se han multiplicado desde que el colectivo de los MENA pasó a catalogarse como nuevo fenómeno migratorio. En todo caso, fue durante 2019 cuando el Comité de Derechos del Niño terminó de perfilar nuestros incumplimientos convencionales en materia de identificación del menor. El problema, una vez más, es delinear las estrategias de cumplimiento de unas resoluciones a las que, tradicionalmente, se les ha despojado de toda fuerza vinculante.El objetivo de este trabajo es doble. Por un lado, se pretende demostrar que a pesar de la apariencia protectora de nuestras normas jurídicas, su aplicación práctica está todavía muy lejos de cumplir con los estándares internacionales en materia de infancia. Con tal finalidad se analizan tanto los instrumentos regulatorios sobre el estatuto y el tratamiento de los MENA en España, como algunas de las últimas resoluciones del Comité de Derechos del Niño dictadas contra nuestro país en materia de determinación de la edad. Por otro lado, con el afán de contribuir a evitar futuros incumplimientos convencionales, y aunque sin olvidar las necesarias propuestas de reforma del sistema normativo, como posibles estrategias de litigio se apuntan el recurso a la doctrina de la res interpretata y una coherente implementación del controvertido control de convencionalidad. El mandato hermenéutico del artículo 10.2 de la Constitución española ha orientado la actuación del Tribunal Supremo en una reciente sentencia sobre un caso directamente vinculado con la insuficiente consideración de la documentación acreditativa de la identidad que presentan los menores migrantes que llegan solos a España. Por su parte, el propio Tribunal Constitucional ha avalado la práctica del control de convencionalidad por nuestros tribunales ordinarios. Sin obviar todas las matizaciones necesarias, la operatividad de ambas estrategias parece estar así fuera de toda duda.	INFANCIA	https://doi.org/10.5944/rdp.110.2021.30333	2021-03-20	Revista de Derecho Político	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Reacciones y abordajes de las políticas educativas frente a los flujos migratorios: Una revisión en clave comparada de los casos de Chile y Cataluña	VERDADERO	Este artículo presenta los resultados de una investigación cuyo propósito fue explorar y analizar el proceso de configuración y situación actual de las políticas educativas para el alumnado extranjero en Chile y la Comunidad Autónoma de Cataluña. Desde un enfoque cualitativo, y a partir de un estudio documental en clave comparada, se edificó una visión integral del escenario de las políticas e instrumentos de acción pública para la escolarización del alumnado extranjero en ambos contextos. Los resultados muestran más contrastes que semejanzas. Entre las diferencias destacan los distintos procesos de configuración de estas acciones donde influyen la evolución del fenómeno migratorio y las características de sus sistemas políticos y educativos. También contrastan los ámbitos abordados por estas acciones y las formas en que se materializa la educación inclusiva para el alumnado extranjero. La semejanza más relevante es la incorporación de la educación inclusiva y educación intercultural como enfoques centrales de ambos sistemas educativos y de las acciones en favor de la escolarización de este alumnado. El valor del estudio en clave comparada radica en la mirada extensa, y profunda sobre el desarrollo de políticas educativas e instrumentos de acción pública para abordar el acelerado flujo migrante en los sistemas escolares.	CONVIVENCIA Y RACISMO	https://doi.org/10.14507/epaa.29.6257	2021-05-24	Education Policy Analysis Archives	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La percepción de apoyo social de madres migrantes monoparentales latinoamericanas en Canarias	VERDADERO	El objetivo del estudio es conocer la percepción de apoyo social de madres monoparentales latinoamericanas en Canarias, identificando las fortalezas y debilidades de los sistemas de apoyo formal y de las redes de apoyo informal. A través de una metodología cualitativa se realizaron 3 entrevistas grupales donde participaron 10 madres. Las entrevistas fueron transcritas y analizadas con el software ATLAS ti 22 y los datos se agruparon en dos grandes constructos sistemas de apoyo formal y redes de apoyo informal con varios temas y subtemas en ellos. Del análisis del discurso en relación con el apoyo formal las madres expresaban necesidades de apoyo a la conciliación laboral, familiar y personal, de asesoría jurídica centrada en extranjería y facilidades de acceso al mercado laboral, enfatizando la escasa atención de los servicios sociales. Por otra parte, destacan positivamente la calidad de atención prestada por el resto de los agentes del sistema de apoyo formal. Respecto al apoyo informal se resalta la relevancia del apoyo familiar, de amistades y el vecindario para su bienestar y el de sus hijos e hijas. Por tanto, se concluye la necesidad de fortalecer los sistemas de apoyo formal, y la promoción de redes de apoyo informal. Para ello, se destaca el papel de la comunidad como herramienta inclusiva para el bienestar estas madres monoparentales destacando el papel del Trabajo Social.	RECURSOS DE ACOGIDA	https://doi.org/10.15257/ehquidad.2025.0011	2025-03-17	Ehquidad Revista Internacional de Políticas de Bienestar y Trabajo Social	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La viabilidad demográfica de la España Rural	VERDADERO	En este artículo analizamos la demografía de los 4.925 municipios españoles que tenían menos de 1.000 habitantes en 2016, entidades que, por su escasa dimensión demográfica, muestran un mayor riesgo de despoblación. Realizamos un análisis de componentes principales (ACP) con 21 variables de naturaleza demográfica y geográfica. Posteriormente, construimos una tipología que identifica tres grupos de municipios, que revelan diversos grados de despoblación y para los que analizamos la evolución de su dinámica y estructura demográfica. Los resultados muestran las grandes dificultades de supervivencia demográfica futura de un amplio número de entidades municipales de los sectores rurales españoles.	ECONOMÍA	http://dx.doi.org/10.32796/ice.2023.931.7610	2023-06-29	ICE Revista de Economía	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Marco institucional de la discriminación y tipos de inmigrantes en el mercado de trabajo en España	VERDADERO	""En este trabajo se propone, desde una perspectiva de las teorías de la segmentación del mercado de trabajo, el análisis del papel de las instituciones y las políticas de inmigración en el proceso de segmentación y la diferenciación de tipos de inmigrantes, según las oposiciones típicas que ocupan en dicho mercado. En el primer aspecto se incorpora el concepto """"marco institucional de la discriminación"""" para comprender el conjunto de instituciones que establecen las condiciones normativas de acceso de los inmigrantes al mercado de trabajo. En el segundo se propone la diferenciación de tres tipos diferentes de inmigrantes en el mercado de trabajo en España según su grado de integración en diferentes segmentos laborales: """"asentados"""", """"precarios"""" e """"indocumentados"""". Finalmente, se hace una estimación del volumen de cada uno de estos segmentos.""	TRABAJO	https://doi.org/10.5477/cis/reis.69.105	2024-03-08	Revista Española de Investigaciones Sociológicas	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"The Spanish of women inmigrated in contexts of no regulated and informal learning.	VERDADERO	La adquisición del español como segunda lengua es una cuestión que viene abordándose desde hace mucho tiempo, especialmente desde que los flujos migratorios transformaron las aulas de nuestras escuelas. El escenario multicultural que se ponía a partir de entonces delante del profesorado, hasta el momento habituado a grupos homogéneos en cuanto al idioma, hizo que el aprendizaje del español como lengua de acogida fuera la garantía, no solo del éxito académico, sino también de lograr la interculturalidad y la integración social. Ahora bien, muchas veces hemos olvidado la esencialidad que esta cuestión adquiría también entre la población adulta –sobre todo la femenina-, que ha ido adquiriendo el español en contextos no reglados e informales, la mayor parte de las veces marcados por la necesidad de supervivencia y las iniciativas personales. Este ámbito es el que nos va a interesar en esta aportación. Para ello, realizamos un estudio de caso en torno a la competencia comunicativa de dos informantes con este perfil, mediante la historia de vida y la entrevista focalizada. Analizaremos desde un punto de vista cualitativo cómo surge ese aprendizaje autónomo y espontáneo de la lengua meta y qué rasgos lo definen tanto en la escritura como en la oralidad.	CONVIVENCIA Y RACISMO	https://doi.org/10.30827/portalin.v0i34.16738	2020-09-15	Porta Linguarum Revista Interuniversitaria de Didáctica de las Lenguas Extranjeras	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Diplomacias migrantes	VERDADERO	Ante los desafíos de la movilidad humana contemporánea es necesario pensar en la capacidad de agencia de los migrantes para defender sus derechos. Nuestro punto de partida es que es necesario ir más allá de la mirada estado-céntrica al analizar los activismos migrantes cuando en nombre de la soberanía y el interés nacional, los migrantes enfrentan entornos negativos que inhiben su libre movimiento. Con una perspectiva interdisciplinar, y en diálogo entre la sociología de la acción colectiva y la teoría diplomática, aquí proponemos la noción de diplomacias migrantes como una manera para abordar los activismos migrantes en Norteamérica, a partir de los activismos binacionales ante los procesos de deportación y retorno. En este análisis identificamos a los activismos binacionales, como proyectos cívicos posnacionales que buscan actuar aquí y allá, simultáneamente. Con un enfoque de estudio de casos múltiples usamos dos organizaciones binacionales de Norteamérica para evidenciar cómo operan este tipo de diplomacias migrantes.	POLÍTICA Y LEYES	https://doi.org/10.14422/mig.i48y2020.005	2020-04-16	Migraciones Publicación del Instituto Universitario de Estudios sobre Migraciones	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Impacto de la inmigración en la sociedad receptora	VERDADERO	El artículo presenta un modelo para analizar el impacto de la inmigración teniendo encuenta los condicionantes materiales y los factores institucionales que inciden, mediatizados porlos medios de comunicación de masas, en tres dimensiones: la seguridad ciudadana, la identidadcultural y la competencia por los recursos, de la sociedad receptora. Si bien este modelo sediseñó para llevar a cabo el análisis comparativo del impacto de la inmigración en cuatro paísesdel sur de Europa (España, Grecia, Italia, Portugal), el presente artículo recoge los resultadosobtenidos para el caso español.	CONVIVENCIA Y RACISMO	https://doi.org/10.5477/cis/reis.90.131	2024-02-23	Revista Española de Investigaciones Sociológicas	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La política migratoria de Marruecos como recurso de seguridad y diplomacia: equilibrios e intereses	VERDADERO	En 2013, el rey Mohamed VI anunció la Nueva Política Migratoria. Esta iniciativa supuso un cambio de paradigma en la gobernanza de la migración en Marruecos porque aportó una perspectiva no exclusivamente securitizada del fenómeno migratorio y definió a Marruecos como país de destino. Pensada como una política desde África y para África, tuvo implicaciones relevantes para la cooperación migratoria de Marruecos con la UE y con los países africanos. El tiempo ha demostrado que este es un equilibrio muy difícil de mantener. Analizamos las motivaciones de Marruecos con esta política, sus resultados y sus efectos en el panorama internacional.	POLÍTICA Y LEYES	https://doi.org/10.15366/reim2023.35.011	2023-12-21	Revista de Estudios Internacionales Mediterráneos	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Huida, cimarronaje y santuario: genealogías críticas para deseurocentrar la historia del refugio en el Atlántico Negro	VERDADERO	Este artículo traza una genealogía de la migración forzada y de las prácticas de santuario, partiendo de la experiencia colonial del cimarronaje en las Américas y el Caribe, la cual abarcó casi cuatro siglos de resistencia a la institución de la esclavitud. A través de una revisión de literatura histórica, arqueológica y antropológica sobre rutas de huida y asentamientos cimarrones, por un lado, y de literatura etnográfica y periodística sobre tránsitos, campamentos y protestas migrantes, por el otro, el artículo destaca distintas resonancias entre los dos fenómenos, relativas a la producción de espacios autónomos, subjetividades racializadas, geografías legales y disputas jurídicas. El cimarronaje se presenta como referencia alternativa e innovadora para des-eurocentrar la historia del refugio y abrir la imaginación antropológica, en particular repensando la cuestión del santuario lejos del Estado, y centrándose, en cambio, en las prácticas de solidaridad con y entre migrantes que huyen de opresiones políticas, económicas y sociales.	ASILO Y REFUGIO	https://doi.org/10.1344/sn2022.26.36875	2022-07-01	Scripta Nova Revista Electrónica de Geografía y Ciencias Sociales	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inmigración, Derechos Humanos y Modelos Europeo de fronteras Propuestas conceptuales sobre ""extraterritorialidad"", ""desterritorialidad"" y ""externalización"" de controles y flujos migratorios	VERDADERO	Las avalanchas migratorias y crisis de refugiados en Europa desde 2015 han motivado una preocupación creciente sobre el respeto de los valores europeos y los Derechos humanos en la actuación de la UE y los Estados miembros al afrontar flujos migratorios y controles de acceso al territorio europeo en las fronteras exteriores. Este trabajo comprueba cómo las líneas fronterizas son lugares problemáticos para la defensa, aplicación y protección de derechos humanos de los extranjeros, provocando lo que denominamos la fragilidad de los Derechos humanos en las Fronteras Exteriores aéreas, terrestres y marítimas de la UE.&#13";\n&#13;\nEstamos ante un cambio en la concepción misma de la frontera en esta era pos-globalización, donde determinadas funciones se deslocalizan y se sitúan sistemáticamente fuera del territorio y los puestos fronterizos de los Estados. Sin embargo, las actuaciones territoriales y extraterritoriales deben diferenciarse de las que se producen en actividades de acción exterior en o con terceros Estados a fines de política de inmigración y control de flujos migratorios. La realidad es que se ha configurado para los flujos migratorios un nuevo espacio fronterizo al sur y este del mediterráneo, que necesita una nueva política de fronteras exteriores para este área. Por ello debemos reflexionar sobre nuevos espacios e imaginarios fronterizos, con nuevos conceptos y enfoques de la frontera que aporten otros parámetros de actuación hacia los flujos migratorios y los controles exteriores&#13;\n&#13;\nPor otra parte, se analiza la protección de los derechos humanos por los Estados europeos mas allá de las fronteras exteriores, para determinar en qué medida las funciones de control que se despliegan fuera del territorio afectan a los derechos humanos de los inmigrantes. Para ello diferenciamos entre las situaciones de Externalizacion, donde los que actúan son Estados terceros; y de actuación Extraterritorial de controles migratorios donde intervienen agentes de Estados europeos. Ambas plantean problemáticas de protección de derechos humanos en controles migratorios fuera de territorio terrestre o marítimo de los Estados miembros de la UE, en los que concebimos como funciones desterritorializadas de control fronterizo. Y ambas deben tener en nuestra opinión diferenciados mecanismos de seguimiento, control y supervisión del respeto de los derechos humanos en las funciones de control de inmigración.&#13;\n&#13;"\nEl respeto de derechos humanos de los extranjeros en los controles fronterizos es una cuestión vital para la identidad, valores y pervivencia de la integración europea.	VIGILANCIA DE FRONTERAS	https://doi.org/10.25267/rejucrim.2020.i2.07	2020-01-01	Revista de Estudios Jurídicos y Criminológicos	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;
"De indígenas a “ciudadanos”. Incorporación al Estado-Nación desde la prensa (Pampa y Patagonia, 1880-1930)	VERDADERO	En este trabajo damos cuenta de nuestra “hoja de ruta” en el marco de la realización de la Beca Juan Calfucurá en la Biblioteca Nacional Mariano Moreno (Buenos Aires, República Argentina). Desde nuestras disciplinas- Antropología e Historia- nos propusimos rastrear el proceso de “homogeneización” y “argentinización” de las poblaciones indígenas de Pampa y Patagonia expresado en la prensa durante el período 1880-1930. Elegimos esas décadas dado que las consideramos fundamentales para la construcción y consolidación de la matriz Estado, Nación y Territorio. Las imágenes confeccionadas sobre los indígenas y su negación en tanto actores sociales de aquel presente y sujetos de derecho, fueron constitutivas de una identidad nacional restringida en la que el estereotipo de ciudadano era el “criollo”. Por eso, nos propusimos analizar las representaciones de la Pampa y Patagonia como “desierto” y la construcción de la imagen del indígena como “otro” en el imaginario. Asimismo, examinamos la conformación e imposición de un estereotipo de “ciudadano criollo” como relato dominante. En estos constructos pudimos rastrear los cimientos de los argumentos ideológicos que sirvieron como sustento a políticas concretas y persistentes en nuestros días orientadas a negar los derechos de los pueblos indígenas que incluso ponen en duda su existencia.	POLÍTICA Y LEYES	https://doi.org/10.63207/tefros.v23n2.a5	2025-07-30	Revista TEFROS	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Retorno al sur, desconcentración metropolitana y nuevos flujos migratorios en España	VERDADERO	&#x0D"; &#x0D; Las migraciones internas en España experimentan en la década de los ochenta importantes cambios que afectan tanto al volumen de los flujos, que se reducen claramente, como a su estructura interna (edad, profesiones, etc.) y a la matriz de origen-destino de los migrantes. Junto a la creciente importancia de los movimientos a corta distancia se distinguen tres procesos simultáneos: periurbanización, retornos de antiguos migrantes, y consolidación de nuevas áreas de atracción; el peso de cada uno de éstos varía a lo largo de la década en función de la coyuntura económica.&#x0D; &#x0D;"	POLÍTICA Y LEYES	http://dx.doi.org/10.5477/cis/reis.63.123	2024-03-12	Revista Española de Investigaciones Sociológicas	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
